Time,Open,High,Low,Close,Volume
2014-11-23 00:00:00,1.23627,1.23916,1.23622,1.23855,18192
2014-11-24 00:00:00,1.23854,1.24446,1.23734,1.24225,160574
2014-11-25 00:00:00,1.24226,1.24869,1.24018,1.24711,158774
2014-11-26 00:00:00,1.24712,1.25312,1.24437,1.25046,146130
2014-11-27 00:00:00,1.25048,1.25235,1.24482,1.24532,102109
2014-11-28 00:00:00,1.24532,1.24902,1.24263,1.24497,118052
2014-11-30 00:00:00,1.24631,1.24641,1.24272,1.24468,24667
2014-12-01 00:00:00,1.24467,1.25067,1.24194,1.2465,176106
2014-12-02 00:00:00,1.24649,1.24701,1.23769,1.23867,158529
2014-12-03 00:00:00,1.23868,1.239,1.23012,1.23124,170314
2014-12-04 00:00:00,1.23124,1.24563,1.22795,1.23816,210333
2014-12-05 00:00:00,1.23815,1.23837,1.22709,1.22825,143438
2014-12-07 00:00:00,1.22864,1.2303,1.22804,1.22884,18632
2014-12-08 00:00:00,1.22883,1.23439,1.22472,1.23113,152836
2014-12-09 00:00:00,1.23112,1.24475,1.2292,1.2372,203318
2014-12-10 00:00:00,1.2372,1.24951,1.2364,1.24557,189965
2014-12-11 00:00:00,1.24552,1.24861,1.23702,1.23985,193114
2014-12-12 00:00:00,1.23983,1.24851,1.23843,1.24595,157963
2014-12-14 00:00:00,1.2474,1.24777,1.24442,1.2449,29223
2014-12-15 00:00:00,1.2449,1.24786,1.24146,1.24492,172097
2014-12-16 00:00:00,1.2449,1.25699,1.24399,1.25,219079
2014-12-17 00:00:00,1.25001,1.25033,1.23206,1.23436,198147
2014-12-18 00:00:00,1.23436,1.23524,1.22657,1.22808,177793
2014-12-19 00:00:00,1.22809,1.23022,1.22201,1.22265,128812
2014-12-21 00:00:00,1.22229,1.22462,1.22198,1.22443,13595
2014-12-22 00:00:00,1.22443,1.22725,1.22166,1.22307,103803
2014-12-23 00:00:00,1.22307,1.22456,1.21646,1.21695,104432
2014-12-24 00:00:00,1.21695,1.22201,1.21695,1.22045,53636
2014-12-25 00:00:00,1.22044,1.22283,1.2203,1.2218,11683
2014-12-26 00:00:00,1.22181,1.22205,1.21686,1.21777,41529
2014-12-28 00:00:00,1.21792,1.21932,1.21672,1.21871,13502
2014-12-29 00:00:00,1.21871,1.2221,1.21351,1.21394,98446
2014-12-30 00:00:00,1.21395,1.21873,1.21239,1.21635,100786
2014-12-31 00:00:00,1.21638,1.21666,1.20968,1.20976,68510
2015-01-01 00:00:00,1.21038,1.21073,1.20476,1.20588,20087
2015-01-02 00:00:00,1.20586,1.20697,1.20004,1.20017,105026
2015-01-04 00:00:00,1.19495,1.19761,1.18677,1.19562,30977
2015-01-05 00:00:00,1.1956,1.19762,1.18872,1.1946,152009
2015-01-06 00:00:00,1.1946,1.19687,1.18461,1.187,178762
2015-01-07 00:00:00,1.18699,1.18966,1.18022,1.18218,181528
2015-01-08 00:00:00,1.18219,1.18312,1.17543,1.18064,151698
2015-01-09 00:00:00,1.18066,1.1846,1.17629,1.18406,155646
2015-01-11 00:00:00,1.18452,1.18699,1.1845,1.18475,16004
2015-01-12 00:00:00,1.18477,1.18708,1.17861,1.18452,166989
2015-01-13 00:00:00,1.18455,1.18596,1.17531,1.17792,193443
2015-01-14 00:00:00,1.17793,1.18464,1.17273,1.17802,210137
2015-01-15 00:00:00,1.17802,1.17875,1.15675,1.16317,297127
2015-01-16 00:00:00,1.16317,1.16487,1.146,1.15626,219632
2015-01-18 00:00:00,1.15515,1.15741,1.15515,1.15563,18997
2015-01-19 00:00:00,1.15561,1.16388,1.15514,1.15817,143138
2015-01-20 00:00:00,1.15818,1.1615,1.15405,1.15669,144560
2015-01-21 00:00:00,1.15669,1.16799,1.1547,1.16048,179912
2015-01-22 00:00:00,1.16044,1.16505,1.1316,1.13631,212453
2015-01-23 00:00:00,1.13631,1.13674,1.11146,1.1202,213548
2015-01-25 00:00:00,1.11521,1.12013,1.10979,1.1154,37165
2015-01-26 00:00:00,1.11544,1.12954,1.11541,1.12414,164714
2015-01-27 00:00:00,1.12413,1.14225,1.12237,1.13349,182565
2015-01-28 00:00:00,1.13349,1.13821,1.12725,1.12827,172821
2015-01-29 00:00:00,1.12826,1.13678,1.12619,1.13302,168325
2015-01-30 00:00:00,1.13301,1.13635,1.12783,1.12826,161635
2015-02-01 00:00:00,1.13112,1.13255,1.13005,1.13179,13813
2015-02-02 00:00:00,1.1318,1.13621,1.12922,1.13447,151176
2015-02-03 00:00:00,1.13449,1.15338,1.13124,1.14606,195807
2015-02-04 00:00:00,1.14606,1.14848,1.13039,1.13541,173780
2015-02-05 00:00:00,1.1354,1.14988,1.13316,1.14655,151524
2015-02-06 00:00:00,1.14655,1.14735,1.13119,1.13128,133037
2015-02-08 00:00:00,1.12957,1.13399,1.12953,1.13376,15556
2015-02-09 00:00:00,1.13376,1.13595,1.12703,1.13399,144956
2015-02-10 00:00:00,1.13399,1.13454,1.12729,1.13242,151411
2015-02-11 00:00:00,1.13243,1.13516,1.128,1.13117,151528
2015-02-12 00:00:00,1.13119,1.14228,1.13056,1.13974,170263
2015-02-13 00:00:00,1.13972,1.14427,1.138,1.13877,134643
2015-02-15 00:00:00,1.1399,1.14204,1.13891,1.14144,14561
2015-02-16 00:00:00,1.14146,1.1429,1.13193,1.13529,108169
2015-02-17 00:00:00,1.13529,1.14489,1.13371,1.1408,142986
2015-02-18 00:00:00,1.1408,1.14234,1.13339,1.14214,154898
2015-02-19 00:00:00,1.14214,1.145,1.13552,1.13711,135230
2015-02-20 00:00:00,1.13711,1.14297,1.1279,1.13773,170005
